10,2.0,0.2,28.961720527,0.9972588367812396,18,-1.0,-1.0,-1,-1.0,-1,39.853692412,0.9972588405096575,18,0.00259355196890787,0,1
10,2.0,0.2,32.734377958,0.9900512998812626,22,-1.0,-1.0,-1,-1.0,-1,75.854543504,0.9900513658080528,22,0.006495460440419265,1,1
10,2.0,0.2,28.257266866,0.9893275001813439,24,-1.0,-1.0,-1,-1.0,-1,333.919638729,0.9893272322461228,24,0.003030215177204809,4485,1
10,2.0,0.2,31.853872694,0.9948565410209107,14,-1.0,-1.0,-1,-1.0,-1,338.584558205,0.9948565435596315,14,0.0012679377998444773,2161,1
10,2.0,0.2,41.790994556,0.9957441182969949,18,-1.0,-1.0,-1,-1.0,-1,58.658207505,0.995743707824613,18,0.008447878391458774,0,1
10,2.0,0.3,32.272456054,0.9740807002835151,22,-1.0,-1.0,-1,-1.0,-1,339.79513738,0.9740806695993004,22,0.0066616551757761044,4669,1
10,2.0,0.2,39.590459463,0.9999999999999007,10,-1.0,-1.0,-1,-1.0,-1,54.409316538,0.9999999999979917,10,0.0,0,1
10,2.0,0.2,33.682497314,0.9908756337844506,24,-1.0,-1.0,-1,-1.0,-1,341.403954246,0.9908761863980291,24,0.006467827291716868,4206,1
10,2.0,0.2,38.739164008,0.9892450739455662,20,-1.0,-1.0,-1,-1.0,-1,57.351155679,0.9892450985805326,20,0.0031358446649392135,0,1
10,2.0,0.2,32.217726777,0.9944841507371347,16,-1.0,-1.0,-1,-1.0,-1,338.80764114,0.9944841552718093,16,0.001295706958152551,3734,1
10,2.0,0.2,37.759144464,0.977065214966183,22,-1.0,-1.0,-1,-1.0,-1,344.49443233,0.9770649789473647,22,0.0016108510753838345,3558,1
10,2.0,0.2,29.319444779,0.9970312916507116,12,-1.0,-1.0,-1,-1.0,-1,335.184044069,0.9970312909953181,12,0.0010802032027671798,4220,1
10,2.0,0.2,33.927941295,0.9874852105983508,16,-1.0,-1.0,-1,-1.0,-1,354.72733221,0.9875586741999555,16,0.0003967358998297685,1,2
10,2.0,0.2,32.515602811,0.9863162691946116,16,-1.0,-1.0,-1,-1.0,-1,337.858703098,0.9859062488300291,16,0.001093263767949812,1,2
10,2.0,0.2,31.765037594,0.9925216605128153,18,-1.0,-1.0,-1,-1.0,-1,337.915101246,0.9925216681929977,18,0.0027826469425338146,5232,1
10,2.0,0.3,28.992948077,0.9763616807111031,28,-1.0,-1.0,-1,-1.0,-1,1342.865836147,0.9642134722310836,28,0.016259663499731403,1,50
10,2.0,0.3,41.19216888,0.9667193880020831,24,-1.0,-1.0,-1,-1.0,-1,1755.22509397,0.967294794124433,24,0.0032291596780229526,1,50
10,2.0,0.2,33.991521969,0.9960708476383823,26,-1.0,-1.0,-1,-1.0,-1,2533.343563305,0.9950728726024847,26,0.005979720534331712,0,50
10,2.0,0.2,46.167046529,0.9924048542614688,20,-1.0,-1.0,-1,-1.0,-1,2715.748171658,0.9901891262325961,20,0.0010254704026694261,1,50
10,2.0,0.2,29.283090091,0.9878501478079894,26,-1.0,-1.0,-1,-1.0,-1,5366.25558638,0.9886835401315276,26,0.0021242217248058637,1,50
10,2.0,0.2,53.595421575,0.9816345464199544,20,-1.0,-1.0,-1,-1.0,-1,13143.427873423,0.9817251241921106,20,0.0,8366,20
10,2.0,0.3,37.472045219,0.9185555987759197,36,-1.0,-1.0,-1,-1.0,-1,41765.831600721,0.9133018169314875,34,0.00443853398498284,2759,50
